"ea_number","village","island","total_interviews","interviews_with_errors","interviews_clean","completed","interviewer_assigned","supervisor_assigned","approved_by_hq","rejected_by_supervisor","total_households","total_population","total_males","total_females","male_percentage","female_percentage","gender_ratio","average_hh_size","error_rate","completion_rate","unique_interviewers"
"120500501","1205 - Rotuma","12 - Nonouti",64,0,64,0,0,0,1,0,64,255,117,138,45.9,54.1,0.85,4.9,0,0,1
"120500502","1205 - Rotuma","12 - Nonouti",42,0,42,0,0,0,0,0,42,170,122,48,71.8,28.2,2.54,5.48,0,0,1
"120600600","1206 - Autukia","12 - Nonouti",23,1,22,0,0,0,1,0,23,75,40,35,53.3,46.7,1.14,4.17,4.3,0,1
"120700701","1207 - Matang","12 - Nonouti",37,3,34,0,0,0,0,0,37,139,65,74,46.8,53.2,0.88,4.79,8.1,0,1
"120700702","1207 - Matang","12 - Nonouti",40,1,39,0,0,0,0,0,40,148,80,68,54.1,45.9,1.18,4.48,2.5,0,1
"120700703","1207 - Matang","12 - Nonouti",46,0,46,0,0,0,1,0,46,131,65,66,49.6,50.4,0.98,3.85,0,0,1
"120700704","1207 - Matang","12 - Nonouti",35,0,35,0,0,0,0,0,35,114,54,60,47.4,52.6,0.9,4.75,0,0,1
"120800801","1208 - Taboiaki","12 - Nonouti",37,0,37,0,0,0,0,0,37,157,90,67,57.3,42.7,1.34,4.62,0,0,1
"120800802","1208 - Taboiaki","12 - Nonouti",30,0,30,0,0,0,1,1,30,102,53,49,52,48,1.08,4.08,0,0,1
"120800803","1208 - Taboiaki","12 - Nonouti",35,1,34,0,0,0,0,0,35,156,79,77,50.6,49.4,1.03,4.73,2.9,0,1
"120800804","1208 - Taboiaki","12 - Nonouti",35,0,35,0,0,0,0,0,35,107,57,50,53.3,46.7,1.14,4.46,0,0,1
"120800805","1208 - Taboiaki","12 - Nonouti",42,0,42,0,0,0,0,1,42,152,72,80,47.4,52.6,0.9,4.34,0,0,1
"120900900","1209 - Temotu","12 - Nonouti",59,0,59,0,0,0,0,0,59,193,106,87,54.9,45.1,1.22,4.02,0,0,1
"130100100","1301 - Tekabwibwi","13 - North Tabiteuea",44,0,44,0,0,0,0,0,44,179,102,77,57,43,1.32,4.84,0,0,1
"130200200","1302 - Tekaman","13 - North Tabiteuea",68,0,68,0,0,0,0,0,68,231,120,111,51.9,48.1,1.08,4.36,0,0,1
"130300301","1303 - Tanaeang","13 - North Tabiteuea",68,3,65,0,0,0,0,0,68,248,130,118,52.4,47.6,1.1,4.35,4.4,0,1
"130300302","1303 - Tanaeang","13 - North Tabiteuea",64,2,62,0,0,0,0,0,64,334,168,166,50.3,49.7,1.01,6.07,3.1,0,1
"130400401","1304 - Buota","13 - North Tabiteuea",66,5,61,0,0,0,0,3,66,257,133,124,51.8,48.2,1.07,5.08,7.6,0,1
"130400402","1304 - Buota","13 - North Tabiteuea",46,2,44,0,0,0,0,0,46,189,90,99,47.6,52.4,0.91,5.25,4.3,0,1
"130500501","1305 - Terikiai","13 - North Tabiteuea",53,0,53,0,0,0,0,0,53,185,96,89,51.9,48.1,1.08,4.2,0,0,1
"130500502","1305 - Terikiai","13 - North Tabiteuea",39,0,39,0,0,0,0,0,39,193,107,86,55.4,44.6,1.24,5.22,0,0,1
"130600601","1306 - Eita","13 - North Tabiteuea",53,6,47,0,0,0,0,2,53,145,74,71,51,49,1.04,4.45,11.3,0,1
"130600602","1306 - Eita","13 - North Tabiteuea",33,2,31,0,0,0,0,0,33,139,65,74,46.8,53.2,0.88,4.96,6.1,0,1
"130600603","1306 - Eita","13 - North Tabiteuea",27,0,27,0,0,0,0,0,27,117,56,61,47.9,52.1,0.92,4.88,0,0,1
"130600604","1306 - Eita","13 - North Tabiteuea",55,1,54,0,0,0,0,0,55,522,170,352,32.6,67.4,0.48,11.35,1.8,0,1
"130700701","1307 - Utiroa","13 - North Tabiteuea",51,4,47,0,0,0,0,0,51,160,77,83,48.1,51.9,0.93,4.71,7.8,0,1
"130700702","1307 - Utiroa","13 - North Tabiteuea",48,0,48,0,0,0,0,0,48,178,90,88,50.6,49.4,1.02,4.68,0,0,1
"130700703","1307 - Utiroa","13 - North Tabiteuea",40,0,40,0,0,0,0,0,40,165,86,79,52.1,47.9,1.09,5,0,0,1
"130700704","1307 - Utiroa","13 - North Tabiteuea",93,1,92,0,0,0,0,0,93,297,154,143,51.9,48.1,1.08,4.95,1.1,0,1
"130800801","1308 - Tauma","13 - North Tabiteuea",34,0,34,0,0,0,0,0,34,143,62,81,43.4,56.6,0.77,5.3,0,0,1
"130800802","1308 - Tauma","13 - North Tabiteuea",30,0,30,0,0,0,0,0,30,96,53,43,55.2,44.8,1.23,4.36,0,0,1
"130900900","1309 - Kabuna","13 - North Tabiteuea",56,0,56,0,0,0,0,1,56,206,112,94,54.4,45.6,1.19,4.38,0,0,1
"131001000","1310 - Tenatorua","13 - North Tabiteuea",33,1,32,0,0,0,0,0,33,142,74,68,52.1,47.9,1.09,5.26,3,0,1
"131101100","1311 - Bangai","13 - North Tabiteuea",10,0,10,0,0,0,0,1,10,25,15,10,60,40,1.5,5,0,0,1
"131201200","1312 - Aiwa","13 - North Tabiteuea",33,0,33,1,0,0,0,2,33,120,62,58,51.7,48.3,1.07,4.8,0,3,1
"140100101","1401 - Tewai","14 - South Tabiteuea",52,0,52,0,0,0,0,0,52,172,86,86,50,50,1,3.91,0,0,1
"140100102","1401 - Tewai","14 - South Tabiteuea",27,0,27,0,0,0,0,0,27,78,39,39,50,50,1,3.9,0,0,1
"140200200","1402 - Taungaeaka","14 - South Tabiteuea",43,0,43,0,0,0,0,0,43,151,79,72,52.3,47.7,1.1,3.97,0,0,1
"140300301","1403 - Buariki","14 - South Tabiteuea",68,1,67,0,0,0,0,0,68,270,143,127,53,47,1.13,4.58,1.5,0,1
"140300302","1403 - Buariki","14 - South Tabiteuea",53,0,53,0,0,0,0,0,53,343,168,175,49,51,0.96,6.6,0,0,1
"140400400","1404 - Nikutoru","14 - South Tabiteuea",31,0,31,0,0,0,0,0,31,122,50,72,41,59,0.69,4.36,0,0,1
"140500500","1405 - Katabanga","14 - South Tabiteuea",18,0,18,0,0,0,0,0,18,76,42,34,55.3,44.7,1.24,5.07,0,0,1
"140600600","1406 - Taku","14 - South Tabiteuea",41,0,41,0,0,0,0,0,41,173,91,82,52.6,47.4,1.11,4.32,0,0,1
"150100100","1501 - Autukia","15 - Beru",64,0,64,0,0,0,0,0,64,259,133,126,51.4,48.6,1.06,4.39,0,0,1
"150200200","1502 - Tabiang","15 - Beru",1,0,1,0,0,0,0,0,1,3,1,2,33.3,66.7,0.5,3,0,0,1
"150200201","1502 - Tabiang","15 - Beru",54,0,54,0,0,0,0,0,54,181,86,95,47.5,52.5,0.91,4.11,0,0,1
"150200202","1502 - Tabiang","15 - Beru",42,0,42,0,0,0,0,0,42,118,56,62,47.5,52.5,0.9,3.58,0,0,1
"150200203","1502 - Tabiang","15 - Beru",46,0,46,0,0,0,0,0,46,138,65,73,47.1,52.9,0.89,4.18,0,0,1
"150300300","1503 - Aoniman","15 - Beru",52,0,52,0,0,0,0,0,52,130,62,68,47.7,52.3,0.91,3.94,0,0,1
"150400400","1504 - Rongorongo","15 - Beru",31,0,31,0,0,0,0,2,31,301,175,126,58.1,41.9,1.39,12.58,0,0,1
"150500501","1505 - Nuka","15 - Beru",65,0,65,0,0,0,0,1,65,166,80,86,48.2,51.8,0.93,3.95,0,0,1
"150500502","1505 - Nuka","15 - Beru",49,0,49,0,0,0,0,0,49,135,64,71,47.4,52.6,0.9,3.55,0,0,1
"150500503","1505 - Nuka","15 - Beru",42,0,42,0,0,0,0,0,42,137,76,61,55.5,44.5,1.25,4.03,0,0,1
"150600600","1506 - Teteirio","15 - Beru",30,0,30,0,0,0,0,0,30,87,41,46,47.1,52.9,0.89,3.95,0,0,1
"150700700","1507 - Taubukinberu","15 - Beru",34,0,34,0,0,0,0,0,34,113,59,54,52.2,47.8,1.09,4.04,0,0,1
"150800801","1508 - Eriko","15 - Beru",31,0,31,0,0,0,0,0,31,98,51,47,52,48,1.09,3.77,0,0,1
"150800802","1508 - Eriko","15 - Beru",49,0,49,0,0,0,0,0,49,130,68,62,52.3,47.7,1.1,3.94,0,0,1
"150900901","1509 - Taboiaki","15 - Beru",64,0,64,0,0,0,0,0,64,172,94,78,54.7,45.3,1.21,3.82,0,0,1
"150900902","1509 - Taboiaki","15 - Beru",57,0,57,0,0,0,0,0,57,190,91,99,47.9,52.1,0.92,4.04,0,0,1
"160100101","1601 - Muribenua","16 - Nikunau",44,0,44,0,0,0,0,0,44,119,61,58,51.3,48.7,1.05,3.22,0,0,1
"160100102","1601 - Muribenua","16 - Nikunau",34,0,34,0,0,0,0,0,34,100,49,51,49,51,0.96,3.57,0,0,1
"160200200","1602 - Tabutoa","16 - Nikunau",63,0,63,0,0,0,0,0,63,217,124,93,57.1,42.9,1.33,3.56,0,0,1
"160300301","1603 - Rungata","16 - Nikunau",67,0,67,0,0,0,0,0,67,248,133,115,53.6,46.4,1.16,4.07,0,0,1
"160300302","1603 - Rungata","16 - Nikunau",49,2,47,0,0,0,0,0,49,195,98,97,50.3,49.7,1.01,4.43,4.1,0,1
"160300303","1603 - Rungata","16 - Nikunau",44,0,44,0,0,0,0,0,44,179,98,81,54.7,45.3,1.21,4.26,0,0,1
"160300304","1603 - Rungata","16 - Nikunau",65,0,65,0,0,0,0,0,65,246,126,120,51.2,48.8,1.05,4.17,0,0,1
"160300305","1603 - Rungata","16 - Nikunau",52,0,52,0,0,0,0,0,52,186,94,92,50.5,49.5,1.02,4.13,0,0,1
"160400400","1604 - Manriki","16 - Nikunau",59,0,59,0,0,0,0,0,59,214,117,97,54.7,45.3,1.21,3.82,0,0,1
"160500501","1605 - Nikumanu","16 - Nikunau",49,0,49,0,0,0,0,0,49,168,88,80,52.4,47.6,1.1,3.73,0,0,1
"160500502","1605 - Nikumanu","16 - Nikunau",42,0,42,0,0,0,0,0,42,168,88,80,52.4,47.6,1.1,4.2,0,0,1
"160600600","1606 - Tabomatang","16 - Nikunau",34,0,34,0,0,0,1,0,34,82,46,36,56.1,43.9,1.28,3.57,0,0,1
"170100100","1701 - Tekawa","17 - Onotoa",47,0,47,0,0,0,0,0,47,140,71,69,50.7,49.3,1.03,4.12,0,0,1
"170200200","1702 - Tanaeang","17 - Onotoa",58,0,58,0,0,0,0,1,58,188,95,93,50.5,49.5,1.02,4.37,0,0,2
"170300300","1703 - Buariki","17 - Onotoa",73,0,73,0,0,0,0,0,73,254,132,122,52,48,1.08,4.46,0,0,1
"170400400","1704 - Temao","17 - Onotoa",69,0,69,0,0,0,0,0,69,237,139,98,58.6,41.4,1.42,4.47,0,0,1
"170500500","1705 - Otowae","17 - Onotoa",63,0,63,0,0,0,0,0,63,224,119,105,53.1,46.9,1.13,4.31,0,0,1
"170600601","1706 - Aiaki","17 - Onotoa",53,0,53,0,0,0,0,0,53,119,62,57,52.1,47.9,1.09,4.41,0,0,1
"170600602","1706 - Aiaki","17 - Onotoa",42,0,42,4,0,0,0,0,42,109,57,52,52.3,47.7,1.1,4.04,0,9.5,1
"170700701","1707 - Tabuarorae","17 - Onotoa",37,0,37,4,0,0,0,0,37,132,64,68,48.5,51.5,0.94,4.89,0,10.8,1
"170700702","1707 - Tabuarorae","17 - Onotoa",38,0,38,0,0,0,0,0,38,106,48,58,45.3,54.7,0.83,3.93,0,0,1
"180100101","1801 - Bakarawa","18 - Tamana",45,2,43,0,0,0,1,0,45,141,69,72,48.9,51.1,0.96,4.27,4.4,0,1
"180100102","1801 - Bakarawa","18 - Tamana",38,1,37,0,0,0,0,0,38,144,72,72,50,50,1,4.65,2.6,0,1
"180200201","1802 - Bakaka","18 - Tamana",38,1,37,0,0,0,1,0,38,143,72,71,50.3,49.7,1.01,4.61,2.6,0,1
"180200202","1802 - Bakaka","18 - Tamana",69,1,68,0,0,0,0,0,69,262,139,123,53.1,46.9,1.13,4.3,1.4,0,1
"180300301","1803 - Barebuka","18 - Tamana",43,1,42,0,0,0,1,0,43,134,65,69,48.5,51.5,0.94,3.35,2.3,0,1
"180300302","1803 - Barebuka","18 - Tamana",36,0,36,0,0,0,0,0,36,120,63,57,52.5,47.5,1.11,4.14,0,0,1
"190100101","1901 - Tamaroa","19 - Arorae",60,0,60,0,0,0,0,1,60,219,106,113,48.4,51.6,0.94,5.09,0,0,1
"190100102","1901 - Tamaroa","19 - Arorae",60,0,60,0,0,0,0,0,60,203,99,104,48.8,51.2,0.95,4.51,0,0,1
"190200201","1902 - Roreti","19 - Arorae",48,0,48,0,0,0,0,0,48,167,89,78,53.3,46.7,1.14,4.28,0,0,1
"190200202","1902 - Roreti","19 - Arorae",55,0,55,0,0,0,0,0,55,183,87,96,47.5,52.5,0.91,4.46,0,0,1
"190200203","1902 - Roreti","19 - Arorae",59,0,59,0,0,0,0,0,59,219,115,104,52.5,47.5,1.11,5.21,0,0,1
"20100111","201 - Makin","2 - Makin",63,0,63,0,0,0,0,0,63,218,101,117,46.3,53.7,0.86,4.04,0,0,1
"20100112","201 - Makin","2 - Makin",68,0,68,0,0,0,0,1,68,214,110,104,51.4,48.6,1.06,4.28,0,0,2
"20100113","201 - Makin","2 - Makin",58,0,58,0,0,0,0,0,58,160,82,78,51.2,48.8,1.05,4,0,0,1
"20100121","201 - Makin","2 - Makin",68,0,68,0,0,0,0,0,68,239,123,116,51.5,48.5,1.06,5.2,0,0,2
"20100122","201 - Makin","2 - Makin",82,1,81,0,0,0,0,0,82,238,129,109,54.2,45.8,1.18,4.49,1.2,0,1
"20100131","201 - Makin","2 - Makin",60,0,60,0,0,0,0,0,60,189,100,89,52.9,47.1,1.12,4.72,0,0,2
"20100132","201 - Makin","2 - Makin",56,1,55,0,0,0,0,0,56,214,108,106,50.5,49.5,1.02,4.65,1.8,0,1
"20200201","202 - Kiebu","2 - Makin",39,0,39,0,0,0,0,1,39,144,78,66,54.2,45.8,1.18,5.33,0,0,2
"20200202","202 - Kiebu","2 - Makin",53,0,53,0,0,0,0,0,53,211,113,98,53.6,46.4,1.15,4.8,0,0,1
"200100100","2001 - Abaiang","20 - Teeraina",52,0,52,0,0,0,0,0,52,227,119,108,52.4,47.6,1.1,5.04,0,0,1
"200200200","2002 - Kauamwemwe","20 - Teeraina",41,2,39,0,0,0,2,0,41,187,100,87,53.5,46.5,1.15,5.19,4.9,0,1
"200300300","2003 - Uteute","20 - Teeraina",25,0,25,0,0,0,0,0,25,71,38,33,53.5,46.5,1.15,3.55,0,0,1
"200400400","2004 - kaaitara","20 - Teeraina",25,0,25,0,0,0,0,0,25,96,50,46,52.1,47.9,1.09,4.36,0,0,1
"200500501","2005 - Tangkore","20 - Teeraina",51,0,51,0,0,0,0,0,51,162,85,77,52.5,47.5,1.1,4.5,0,0,1
"200500502","2005 - Tangkore","20 - Teeraina",70,0,70,0,0,0,0,0,70,319,156,163,48.9,51.1,0.96,4.76,0,0,1
"200600600","2006 - Matanibike","20 - Teeraina",25,0,25,0,0,0,1,0,25,97,52,45,53.6,46.4,1.16,5.11,0,0,1
"200700700","2007 - Arabata","20 - Teeraina",37,0,37,0,0,0,0,0,37,92,52,40,56.5,43.5,1.3,3.83,0,0,1
"200800800","2008 - Mwakeitari","20 - Teeraina",34,0,34,0,0,0,5,0,34,213,117,96,54.9,45.1,1.22,6.66,0,0,1
"200900900","2009 - Onauea","20 - Teeraina",28,0,28,0,0,0,3,0,28,90,46,44,51.1,48.9,1.05,4.74,0,0,1
"210200201","2102 - Tereitaki","21 - Tabuaeran",50,0,50,0,0,0,2,0,50,81,43,38,53.1,46.9,1.13,3.68,0,0,1
"210200202","2102 - Tereitaki","21 - Tabuaeran",75,0,75,0,0,0,0,0,75,177,100,77,56.5,43.5,1.3,4.42,0,0,1
"210300300","2103 - Betania","21 - Tabuaeran",66,0,66,0,0,0,1,0,66,197,109,88,55.3,44.7,1.24,4.28,0,0,1
"210400400","2104 - Paelau","21 - Tabuaeran",40,0,40,0,0,0,0,1,40,138,72,66,52.2,47.8,1.09,4.45,0,0,1
"210500500","2105 - Aontenaa","21 - Tabuaeran",46,0,46,0,0,0,0,0,46,169,81,88,47.9,52.1,0.92,4.45,0,0,1
"210600601","2106 - Tenenebo","21 - Tabuaeran",78,0,78,0,0,0,0,0,78,273,141,132,51.6,48.4,1.07,4.79,0,0,1
"210600602","2106 - Tenenebo","21 - Tabuaeran",44,0,44,0,0,0,0,0,44,140,71,69,50.7,49.3,1.03,4.12,0,0,1
"210700700","2107 - Tereitannano","21 - Tabuaeran",52,1,51,0,0,0,1,0,52,186,105,81,56.5,43.5,1.3,4.77,1.9,0,1
"210800801","2108 - Aramari","21 - Tabuaeran",46,0,46,0,0,0,0,0,46,158,79,79,50,50,1,4.79,0,0,1
"210800802","2108 - Aramari","21 - Tabuaeran",27,1,26,0,0,0,1,0,27,109,56,53,51.4,48.6,1.06,4.95,3.7,0,1
"210900900","2109 - Mwanuku","21 - Tabuaeran",65,0,65,0,0,0,0,0,65,223,117,106,52.5,47.5,1.1,4.96,0,0,1
"220100110","2201 - London","22 - Kiritimati",37,0,37,0,0,0,4,0,37,189,95,94,50.3,49.7,1.01,5.56,0,0,5
"220100120","2201 - London","22 - Kiritimati",51,4,47,0,0,0,0,0,51,240,119,121,49.6,50.4,0.98,5.85,7.8,0,2
"220100131","2201 - London","22 - Kiritimati",19,0,19,7,0,0,2,0,19,90,46,44,51.1,48.9,1.05,4.74,0,36.8,3
"220100132","2201 - London","22 - Kiritimati",40,0,40,1,0,0,0,0,40,250,133,117,53.2,46.8,1.14,6.41,0,2.5,1
"220100140","2201 - London","22 - Kiritimati",58,2,56,0,0,0,3,0,58,358,187,171,52.2,47.8,1.09,6.51,3.4,0,2
"220100151","2201 - London","22 - Kiritimati",42,5,37,0,0,0,1,0,42,243,131,112,53.9,46.1,1.17,5.93,11.9,0,1
"220100152","2201 - London","22 - Kiritimati",23,0,23,0,0,0,1,0,23,112,64,48,57.1,42.9,1.33,5.38,0,0,2
"220100160","2201 - London","22 - Kiritimati",45,0,45,0,0,0,2,0,45,232,114,118,49.1,50.9,0.97,6.11,0,0,2
"220100170","2201 - London","22 - Kiritimati",31,4,27,0,0,0,0,0,31,134,73,61,54.5,45.5,1.2,4.96,12.9,0,1
"220200210","2202 - Tabwakea","22 - Kiritimati",37,0,37,0,0,0,3,0,37,207,105,102,50.7,49.3,1.03,5.75,0,0,3
"220200211","2202 - Tabwakea","22 - Kiritimati",27,0,27,0,0,0,1,0,27,77,41,36,53.2,46.8,1.14,3.5,0,0,1
"220200213","2202 - Tabwakea","22 - Kiritimati",31,0,31,0,0,0,1,1,31,168,76,92,45.2,54.8,0.83,5.6,0,0,1
"220200220","2202 - Tabwakea","22 - Kiritimati",55,0,55,1,0,0,1,0,55,262,130,132,49.6,50.4,0.98,5.95,0,1.8,1
"220200231","2202 - Tabwakea","22 - Kiritimati",54,1,53,9,0,0,2,1,54,196,103,93,52.6,47.4,1.11,4.78,1.9,16.7,2
"220200232","2202 - Tabwakea","22 - Kiritimati",50,0,50,0,0,0,0,0,50,260,139,121,53.5,46.5,1.15,5.91,0,0,1
"220200241","2202 - Tabwakea","22 - Kiritimati",46,0,46,0,0,0,1,0,46,222,111,111,50,50,1,6.17,0,0,1
"220200242","2202 - Tabwakea","22 - Kiritimati",54,2,52,0,0,0,4,0,54,286,143,143,50,50,1,6.36,3.7,0,1
"220200251","2202 - Tabwakea","22 - Kiritimati",56,0,56,0,0,0,2,0,56,286,151,135,52.8,47.2,1.12,5.61,0,0,1
"220200252","2202 - Tabwakea","22 - Kiritimati",44,1,43,0,0,0,1,0,44,157,84,73,53.5,46.5,1.15,4.49,2.3,0,1
"220200253","2202 - Tabwakea","22 - Kiritimati",37,0,37,0,0,0,0,0,37,168,91,77,54.2,45.8,1.18,5.42,0,0,1
"220200261","2202 - Tabwakea","22 - Kiritimati",35,0,35,2,0,0,0,2,35,152,69,83,45.4,54.6,0.83,4.9,0,5.7,1
"220200262","2202 - Tabwakea","22 - Kiritimati",37,1,36,3,0,0,1,4,37,146,64,82,43.8,56.2,0.78,5.84,2.7,8.1,1
"220200263","2202 - Tabwakea","22 - Kiritimati",40,0,40,0,0,0,0,0,40,154,77,77,50,50,1,5.13,0,0,1
"220200264","2202 - Tabwakea","22 - Kiritimati",61,0,61,0,0,0,1,0,61,335,176,159,52.5,47.5,1.11,6.09,0,0,1
"220200265","2202 - Tabwakea","22 - Kiritimati",33,1,32,0,0,0,0,0,33,194,96,98,49.5,50.5,0.98,6.06,3,0,1
"220200271","2202 - Tabwakea","22 - Kiritimati",27,1,26,2,0,0,1,0,27,121,68,53,56.2,43.8,1.28,5.76,3.7,7.4,2
"220200272","2202 - Tabwakea","22 - Kiritimati",29,1,28,9,0,0,1,0,29,123,60,63,48.8,51.2,0.95,4.92,3.4,31,3
"220200273","2202 - Tabwakea","22 - Kiritimati",67,0,67,0,0,0,1,1,67,250,126,124,50.4,49.6,1.02,4.72,0,0,1
"220300311","2203 - Banana","22 - Kiritimati",76,0,76,0,0,0,3,0,76,335,162,173,48.4,51.6,0.94,5.98,0,0,4
"220300312","2203 - Banana","22 - Kiritimati",59,1,58,0,0,0,0,0,59,269,139,130,51.7,48.3,1.07,5.72,1.7,0,1
"220300320","2203 - Banana","22 - Kiritimati",79,2,77,1,0,0,4,0,79,428,204,224,47.7,52.3,0.91,6.29,2.5,1.3,3
"220300330","2203 - Banana","22 - Kiritimati",33,0,33,0,0,0,1,0,33,135,68,67,50.4,49.6,1.01,5,0,0,1
"220300340","2203 - Banana","22 - Kiritimati",45,0,45,0,0,0,2,0,45,273,146,127,53.5,46.5,1.15,6.35,0,0,1
"220300350","2203 - Banana","22 - Kiritimati",48,3,45,0,0,0,4,0,48,229,120,109,52.4,47.6,1.1,5.59,6.2,0,2
"220300360","2203 - Banana","22 - Kiritimati",17,0,17,1,0,0,1,0,17,85,41,44,48.2,51.8,0.93,5,0,5.9,2
"220400410","2204 - Poland","22 - Kiritimati",23,0,23,0,0,0,2,0,23,116,69,47,59.5,40.5,1.47,5.04,0,0,1
"220400420","2204 - Poland","22 - Kiritimati",30,0,30,0,0,0,0,0,30,172,101,71,58.7,41.3,1.42,5.73,0,0,1
"220400430","2204 - Poland","22 - Kiritimati",36,0,36,0,0,0,1,0,36,176,92,84,52.3,47.7,1.1,4.89,0,0,1
"230100100","2301 - Kanton","23 - Kanton",8,1,7,8,0,0,0,0,8,30,18,12,60,40,1.5,3.75,12.5,100,2
"30100101","301 - Kuma","3 - Butaritari",39,0,39,0,0,0,0,0,39,142,75,67,52.8,47.2,1.12,4.06,0,0,1
"30100102","301 - Kuma","3 - Butaritari",37,0,37,0,0,0,0,0,37,170,80,90,47.1,52.9,0.89,5,0,0,1
"30200200","302 - Keuea","3 - Butaritari",50,0,50,0,0,0,0,0,50,233,118,115,50.6,49.4,1.03,5.3,0,0,1
"30300300","303 - Tanimainiku","3 - Butaritari",45,0,45,0,0,0,0,0,45,186,94,92,50.5,49.5,1.02,4.54,0,0,1
"30400401","304 - Tanimaiaki","3 - Butaritari",62,0,62,0,0,0,0,0,62,409,222,187,54.3,45.7,1.19,7.57,0,0,1
"30400402","304 - Tanimaiaki","3 - Butaritari",47,0,47,0,0,0,0,2,47,213,98,115,46,54,0.85,4.95,0,0,1
"30500501","305 - Tabonuea","3 - Butaritari",35,0,35,0,0,0,0,0,35,174,82,92,47.1,52.9,0.89,4.97,0,0,1
"30500502","305 - Tabonuea","3 - Butaritari",30,0,30,0,0,0,0,0,30,142,64,78,45.1,54.9,0.82,5.26,0,0,1
"30600600","306 - Antekana","3 - Butaritari",53,0,53,0,0,0,0,1,53,185,93,92,50.3,49.7,1.01,4.02,0,0,1
"30700701","307 - Taubukinmeang","3 - Butaritari",30,0,30,0,0,0,0,0,30,98,52,46,53.1,46.9,1.13,4.9,0,0,1
"30700702","307 - Taubukinmeang","3 - Butaritari",43,1,42,0,0,0,0,0,43,136,68,68,50,50,1,4.39,2.3,0,1
